"","X","PrizeID","Alias","Prize.Name","Inst","Year","Genre","person_id","person_role","last_name","first_name","name","gender","sexuality","uk_residence","ethnicity_macro","ethnicity","highest_degree","degree_institution","degree_field_category","degree_field","viaf","book_id","book_title"
"826",826,1,"James Tait Black Prize for Fiction","James Tait Black Prize for Fiction","The University of Edinburgh",2018,"fiction",5,"winner","Williams","Eley","Williams, Eley","woman","queer",TRUE,"White British","British","Doctorate","unknown","Unknown","Unknown","46151302946448662467",354,"Attrib. and Other Stories"
"827",827,16,"Baillie Gifford Prize for Non-Fiction","Baillie Gifford Prize for Non-Fiction","Samuel Johnson Prize for Non-Fiction Limited",2018,"non-fiction",620,"shortlisted","Zimmer","Carl","Zimmer, Carl","man","unknown",FALSE,"Non-UK White","White American","Bachelors","Yale University","Language and Literature","English","116895897",782,"She Has Her Mother's Laugh"
"828",828,11,"Gold Dagger","Gold Dagger","The Crime Writers' Association",2019,"crime",421,"shortlisted","Askew","Claire","Askew, Claire","woman","unknown",TRUE,"White British","Scottish","Doctorate","University of Edinburgh","Writing","Creative Writing","250428842",537,"All the Hidden Truths"
"829",829,8,"Booker Prize","Man Booker Prize","Booker Foundation",2019,"fiction",190,"winner","Atwood","Margaret","Atwood, Margaret","woman","unknown",FALSE,"Non-UK White","White Canadian","Masters","Radcliffe College","Language and Literature","English Literature","109322990",14,"The Testaments"
"830",830,10,"Women's Prize for Fiction","Women's Prize for Fiction","Women's Prize Trust",2019,"fiction",279,"shortlisted","Barker","Pat","Barker, Pat","woman","unknown",TRUE,"White British","English","Unknown","University of Cambridge","Multiple","Philosophy and English","98651598",382,"The Silence of the Girls"
"831",831,7,"Costa Children's Book Award","Costa Children's Book Award","Costa",2019,"children's",48,"winner","Bilan","Jasbinder","Bilan, Jasbinder","woman","unknown",TRUE,"Asian","Indian British","Masters","Bath Spa University","Writing","Creative Writing","432157523358527032076",32,"Asha & the Spirit Bird"
"832",832,10,"Women's Prize for Fiction","Women's Prize for Fiction","Women's Prize Trust",2019,"fiction",312,"shortlisted","Braithwaite","Oyinkan","Braithwaite, Oyinkan","woman","unknown",FALSE,"African","Nigerian British","Bachelors","Kingston University","Multiple","Creative Writing and Law","16152380022501760537",383,"My Sister, the Serial Killer"
"833",833,10,"Women's Prize for Fiction","Women's Prize for Fiction","Women's Prize Trust",2019,"fiction",193,"shortlisted","Burns","Anna","Burns, Anna","woman","unknown",TRUE,"White British","Northern Irish","None","none","None","None","85321496",43,"Milkman"
"834",834,16,"Baillie Gifford Prize for Non-Fiction","Baillie Gifford Prize for Non-Fiction","Samuel Johnson Prize for Non-Fiction Limited",2019,"non-fiction",610,"shortlisted","Cep","Casey","Cep, Casey","woman","queer",FALSE,"Non-UK White","White American","Masters","University of Oxford","Philosophy and Theology","Theology","5154380935930291088",772,"Furious Hours"
"835",835,6,"Costa Poetry Award","Costa Poetry Award","Costa",2019,"poetry",47,"winner","Chan","Mary Jean","Chan, Mary Jean","non-binary","queer",TRUE,"Asian","Hong Kong","Doctorate","University of London","Writing","Creative Writing","11158003721401880544",53,"Flèche"
